,well_code,date_sampling,quarter,type_analyzing,date_analyzing,laboratory,k,ca2,fe3,fe2,al3,cl,so4,hco3,co3,no2,hardness_general,no3,hardness_temporal,ph,co2_free,co2_infiltrate,sio2,color,smell,tatse,is_drinkable,wqi,wqc
122,14,27456480.0,0,0,27459360.0,1,1,1,1,1,0.0,0,1,1,1,1,1,1,1,1,1,1,1,6,1,1,0,98.86921034026453,0
123,15,24331680.0,0,0,24341760.0,0,1,1,1,1,0.0,0,1,1,1,1,1,1,1,1,1,1,1,6,1,1,0,98.89009303428608,0
124,15,24549120.0,1,0,24557760.0,0,0,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,0,98.23676426512003,0
125,15,24880320.0,0,0,24890400.0,0,1,1,1,1,0.0,0,1,1,1,1,1,1,1,1,1,1,1,6,1,1,0,98.89009303428608,0
126,15,25068960.0,1,0,25073280.0,0,1,1,1,1,0.0,1,1,0,1,1,0,1,1,1,1,1,1,6,1,1,0,98.10537564491233,0
127,15,25369920.0,0,0,25377120.0,0,1,1,1,1,0.0,0,1,1,1,0,0,1,1,1,1,1,1,6,1,1,0,89.68082497076915,2
128,15,25596000.0,1,0,25601760.0,0,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,0,98.95586529892097,0
129,15,25884000.0,0,0,25886880.0,1,1,1,1,1,0.0,0,1,1,1,0,0,1,1,1,1,1,1,6,1,1,0,89.68082497076915,2
130,15,26115840.0,1,0,26118720.0,1,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,0,98.95586529892097,0
131,15,26462880.0,0,0,26470080.0,1,1,1,1,1,0.0,0,1,1,1,0,0,1,1,1,1,1,1,6,0,0,0,89.68082497076915,2
132,15,26678880.0,1,0,26681760.0,1,0,1,1,1,0.0,0,1,1,1,1,0,1,1,1,1,1,1,6,1,1,0,97.31480154560033,0
133,15,26938080.0,0,0,26939520.0,1,1,1,1,1,0.0,0,1,1,1,0,0,1,1,1,1,1,1,6,1,1,0,89.68082497076915,2
134,15,27205920.0,1,0,27207360.0,1,1,1,1,1,0.0,0,1,1,1,0,0,1,1,1,1,1,1,6,1,1,0,89.68082497076915,2
135,15,27456480.0,0,0,27459360.0,1,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,0,98.95586529892097,0
136,16,24310080.0,0,0,24315840.0,0,1,1,1,1,0.0,1,1,0,1,1,0,1,1,1,1,1,1,6,1,1,0,98.10537564491233,0
137,16,24520320.0,1,0,24527520.0,0,1,0,1,1,0.0,1,1,0,1,1,0,1,1,1,1,1,1,6,1,1,0,98.02582252483009,0
138,16,24876000.0,0,0,24886080.0,0,1,1,1,1,0.0,1,1,0,1,1,0,1,1,1,1,1,1,6,1,1,0,56.33998760175163,3
139,16,25064640.0,1,0,25071840.0,0,1,0,1,1,0.0,1,1,0,1,1,0,1,1,1,1,1,1,6,1,1,0,98.02582252483009,0
140,16,25568640.0,1,0,25574400.0,0,1,0,1,1,0.0,1,1,0,1,1,0,1,1,1,1,1,1,6,1,1,0,98.02582252483009,0
141,16,25876800.0,0,0,25879680.0,1,1,0,1,1,0.0,1,1,0,1,1,0,1,1,1,1,1,1,6,1,1,0,98.02582252483009,0
142,16,26413920.0,0,0,26416800.0,1,1,0,1,1,0.0,1,1,0,1,1,0,1,1,1,1,1,1,6,1,1,0,98.02582252483009,0
143,16,26632800.0,1,0,26629920.0,1,1,0,1,1,0.0,1,1,0,1,1,0,1,1,1,1,1,1,6,1,1,0,98.02582252483009,0
144,16,26925120.0,0,0,26928000.0,1,1,0,1,1,0.0,1,1,0,1,0,0,1,1,1,1,1,1,6,1,1,0,89.67274491619797,2
145,16,27113760.0,1,0,27113760.0,1,1,1,1,1,0.0,1,1,0,1,1,0,1,1,1,1,1,1,6,1,1,0,56.33998760175163,3
146,16,27446400.0,0,0,27450720.0,1,1,0,1,1,0.0,1,1,0,1,1,0,1,1,1,1,1,1,6,1,1,0,98.02582252483009,0
147,17,24331680.0,0,0,24341760.0,0,0,0,1,1,0.0,0,1,0,1,1,0,1,1,1,1,1,1,5,1,5,0,55.454678489211965,3
148,17,24549120.0,1,0,24557760.0,0,1,0,1,1,0.0,0,1,0,1,1,0,1,1,1,1,1,1,6,1,5,0,56.17377952301293,3
149,17,24881760.0,0,0,24890400.0,0,0,0,1,1,0.0,0,1,0,1,0,0,1,1,1,1,1,1,6,1,5,0,47.101600880579795,1
150,17,25070400.0,1,0,25073280.0,0,0,0,1,1,0.0,0,1,0,1,0,0,1,1,1,1,1,1,6,1,5,0,47.101600880579795,1
151,17,25368480.0,0,0,25377120.0,0,0,0,1,1,0.0,0,1,1,0,0,0,1,1,1,1,1,1,6,1,5,0,6.170323907881442,4
152,17,25598880.0,1,0,25604640.0,0,0,0,1,1,0.0,0,1,0,1,1,0,1,1,1,1,1,1,6,1,5,0,55.454678489211965,3
153,17,25885440.0,0,0,25891200.0,1,0,0,1,1,0.0,0,1,0,1,1,0,1,1,1,1,1,1,6,1,5,0,55.454678489211965,3
154,17,26117280.0,1,0,25868160.0,1,0,1,1,1,0.0,0,1,0,0,0,0,1,1,1,1,1,1,6,1,5,0,6.234695134818198,4
155,17,26464320.0,0,0,26470080.0,1,0,1,1,1,0.0,0,1,0,1,1,0,1,1,1,1,1,1,6,0,4,0,55.534231609294174,3
156,17,26680320.0,1,0,26681760.0,1,0,0,1,1,0.0,0,1,0,1,0,0,1,1,1,1,1,1,6,1,5,0,47.101600880579795,1
157,17,26936640.0,0,0,26939520.0,1,0,1,1,1,0.0,0,1,0,1,0,0,1,1,1,1,1,1,5,1,5,0,47.181154000662026,1
158,17,27205920.0,1,0,27207360.0,1,0,1,1,1,0.0,0,1,0,1,1,0,1,1,1,1,1,1,6,1,5,0,55.534231609294174,3
159,17,27456480.0,0,0,27459360.0,1,0,0,1,1,0.0,0,1,0,1,1,0,1,1,1,1,1,1,6,1,5,0,55.454678489211965,3
160,18,24331680.0,0,0,24341760.0,0,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,0,98.95586529892097,0
161,18,24549120.0,1,0,24557760.0,0,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,0,98.95586529892097,0
162,18,24549120.0,2,0,24557760.0,0,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,0,98.95586529892097,0
163,18,24881760.0,0,0,24888960.0,0,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,0,98.95586529892097,0
164,18,25070400.0,1,0,25074720.0,0,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,0,98.95586529892097,0
165,18,25368480.0,0,0,25377120.0,0,1,1,1,1,0.0,1,1,1,1,1,0,1,1,1,1,1,1,6,1,1,0,98.12055753805781,0
166,18,25598880.0,1,0,25604640.0,0,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,0,98.95586529892097,0
167,18,25885440.0,0,0,25891200.0,1,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,0,98.95586529892097,0
168,18,26117280.0,1,0,25868160.0,1,1,1,1,1,0.0,1,1,1,0,1,1,1,1,0,1,1,1,6,1,1,0,52.092643126962734,3
169,18,26464320.0,0,0,26470080.0,1,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,6,0,0,0,98.95586529892097,0
170,18,26680320.0,1,0,26681760.0,1,1,1,1,1,0.0,1,1,1,0,1,1,1,1,1,1,1,1,6,1,1,0,58.00940643307716,3
171,18,26936640.0,0,0,26939520.0,1,1,1,1,1,0.0,1,1,0,1,1,1,1,1,1,1,1,1,6,1,1,0,98.94068340577553,0
172,18,27205920.0,1,0,27207360.0,1,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,0,98.95586529892097,0
173,18,27456480.0,0,0,27460800.0,1,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,0,98.95586529892097,0
174,19,24331680.0,0,0,24341760.0,0,0,0,1,1,0.0,0,1,0,1,1,0,1,1,1,1,1,1,5,1,5,0,55.454678489211965,3
175,19,24549120.0,1,0,24557760.0,0,0,1,1,1,0.0,0,1,0,1,1,0,1,1,1,1,1,1,6,1,5,0,55.534231609294174,3
176,19,24881760.0,0,0,24891840.0,0,0,1,1,1,0.0,0,1,0,1,1,0,1,1,1,1,1,1,3,1,5,0,55.534231609294174,3
177,19,25070400.0,1,0,25074720.0,0,0,0,1,1,0.0,0,1,0,1,1,0,1,1,1,1,1,1,5,1,5,0,55.454678489211965,3
