,Index,District,Village,pH,EC,TDS,TH,Alkalinity,Calcium,Magnesium,Sodium,Potassium,Bicarbonate,Chloride,Sulphate,Fluoride,is_drinkable,WQI,WQC,Carbonate
159,159,3,1017,1,1,1,0,183,1,1,1,1,1,1,1,0.9,1,54.50979908728532,2,1
160,160,3,1018,1,1,1,0,144,1,1,1,1,1,1,1,0.48,1,32.79308099090371,1,1
161,161,3,1024,1,1,1,1,114,1,1,1,1,1,1,1,0.36,1,23.4937800189472,0,1
162,162,3,1025,1,0,0,0,149,1,1,1,1,1,1,1,0.65,0,43.77012598723401,1,1
163,163,3,1031,1,1,1,0,238,1,1,1,1,1,1,1,1.21,0,68.05177830198157,2,1
164,164,3,1061,1,1,1,0,203,1,1,1,1,1,1,1,0.32,0,32.75978248655455,1,1
165,165,3,1077,1,1,1,1,84,1,1,1,1,1,1,1,0.66,1,39.581377192662174,1,1
166,166,3,1087,1,0,0,0,158,0,0,1,1,1,0,1,0.28,0,34.29414996191598,1,1
167,167,3,1093,1,1,1,1,94,1,1,1,1,1,1,1,0.33,1,23.919748189699508,0,1
168,168,3,1128,1,0,0,0,218,1,0,1,1,1,1,1,0.27,0,26.5137470750588,1,1
169,169,3,1129,1,1,1,1,163,1,1,1,1,1,1,1,0.21,1,19.228379069549565,0,1
170,170,3,1062,1,0,0,0,183,0,0,1,1,1,0,1,0.45,0,40.11145617421229,1,1
171,171,3,1172,1,1,1,0,153,1,1,1,1,1,1,1,0.28,1,26.05532683909349,1,1
172,172,3,1184,1,1,1,1,124,1,1,1,1,1,1,1,0.48,1,28.462498878424636,1,1
173,173,3,1201,1,0,0,0,282,1,1,1,0,1,1,1,0.42,0,67.26671836527666,2,1
174,174,3,498,1,1,1,0,337,1,1,1,1,0,1,1,0.87,0,55.761214366807366,2,1
175,175,3,529,1,0,0,0,337,1,0,1,1,0,1,1,0.41,0,39.43297800976344,1,1
176,176,3,785,1,0,0,0,351,0,0,1,0,0,0,1,0.4,0,83.87348489673158,3,1
177,177,3,787,1,0,0,0,351,0,1,1,1,0,1,1,0.27,0,31.899480367406863,1,1
178,178,3,817,1,1,1,0,337,1,1,1,1,0,1,1,0.9,0,57.410767180199606,2,1
179,179,3,940,1,0,0,0,406,1,0,1,1,0,1,1,0.47,0,45.20191766037537,1,1
180,180,3,863,1,0,0,0,262,1,0,1,1,1,1,1,0.34,0,33.15256000817441,1,1
181,181,4,3,1,1,1,1,105,1,1,1,1,1,1,1,0.42,1,32.12690477464189,1,1
182,182,4,6,1,0,0,0,257,1,1,1,0,1,1,1,0.08,0,134.63252238834278,3,1
183,183,4,99,1,1,1,0,95,1,1,1,1,1,1,1,0.62,1,40.78974179565845,1,1
184,184,4,138,1,1,1,1,100,1,1,1,1,1,1,1,0.72,1,46.8935642943614,1,1
185,185,4,193,1,1,1,1,90,1,1,1,1,1,1,1,0.57,1,39.10693320392405,1,1
186,186,4,194,0,0,0,0,323,1,1,1,0,0,1,1,0.1,0,175.730055035739,3,0
187,187,4,196,1,1,1,1,67,1,1,1,1,1,1,1,0.18,1,26.88996495023885,1,0
